X Acceleration (m/s^2), Y Acceleration (m/s^2), Z Acceleration (m/s^2), Time (milliseconds)
0.7698, 1.5092, 9.0252, 19131
0.7698, 1.5092, 9.0252, 19180
0.3849, 1.5092, 9.809999, 19210
0.3849, 1.8865, 9.4176, 19256
0.7698, 1.5092, 9.809999, 19302
1.1547, 1.5092, 9.809999, 19333
1.5396, 1.5092, 9.4176, 19381
2.6943, 1.1319, 9.809999, 19410
3.4641, 1.8865, 11.3796, 19457
5.7735, 1.8865, 11.3796, 19488
10.7772, 1.5092, 10.5948, 19534
14.6262, 1.5092, 13.734, 19597
14.6262, 2.6411, 11.772, 19629
10.7772, -1.5092, 0, 19658
-8.0829, -2.6411, 4.7088, 19705
-26.5581, -4.5276, 4.3164, 19737
-17.3205, 9.4325, 12.5568, 19782
-8.8527, 6.0368, 12.5568, 19813
-5.7735, -0.7546, 6.6708, 19858
-3.4641, -4.1503, 6.2784, 19905
-2.6943, -2.2638, 9.4176, 19936
-3.4641, 1.1319, 10.2024, 19980
-3.0792, 0.7546, 10.2024, 20027
-3.0792, 0.7546, 10.9872, 20058
-2.3094, 0, 9.809999, 20103
-2.6943, 1.1319, 9.809999, 20149
-3.0792, 0.7546, 9.0252, 20180
-2.6943, 0, 9.0252, 20226
-2.6943, 0, 9.4176, 20257
-3.0792, 0.3773, 9.4176, 20303
-3.4641, 0.7546, 9.4176, 20349
-4.2339, 0.3773, 9.0252, 20380
-4.2339, 0.3773, 9.0252, 20426
-4.6188, 0, 10.2024, 20457
-5.0037, -0.7546, 9.809999, 20505
-5.3886, -1.8865, 9.809999, 20551
-5.3886, 0, 10.2024, 20582
-4.6188, -0.3773, 9.4176, 20628
-1.5396, -0.3773, 7.0632, 20658
-0.3849, -1.5092, 9.4176, 20705
0.7698, -1.1319, 8.6328, 20753
0.7698, 0.7546, 9.0252, 20784
1.1547, -1.1319, 9.0252, 20832
1.5396, 0, 8.6328, 20860
1.5396, 0, 11.3796, 20907
1.9245, -0.3773, 9.4176, 20953
2.3094, 1.5092, 9.0252, 20984
2.6943, 1.1319, 9.809999, 21029
2.3094, 1.8865, 8.6328, 21062
2.6943, 1.5092, 8.6328, 21108
3.0792, 0.3773, 10.2024, 21155
3.4641, 0.7546, 9.809999, 21185
2.6943, 1.5092, 10.5948, 21233
1.9245, 1.5092, 10.5948, 21279
1.5396, 1.8865, 10.2024, 21309
1.5396, 1.8865, 9.809999, 21357
1.1547, 2.2638, 10.2024, 21388
1.1547, 1.8865, 9.809999, 21433
1.1547, 1.8865, 10.2024, 21481
1.1547, 1.1319, 9.809999, 21511
1.1547, 1.8865, 9.809999, 21559
1.1547, 1.8865, 9.4176, 21588
1.1547, 1.8865, 9.809999, 21634
1.1547, 1.8865, 9.809999, 21681
1.5396, 1.5092, 9.809999, 21714
1.5396, 1.5092, 9.4176, 21758
1.5396, 1.5092, 9.4176, 21791
1.5396, 1.8865, 9.809999, 21837
2.3094, 1.5092, 9.4176, 21868
3.0792, 1.1319, 9.809999, 21915
3.849, 1.8865, 9.0252, 21962
4.6188, 1.5092, 9.4176, 21993
5.0037, 1.1319, 10.5948, 22039
5.3886, 1.5092, 10.5948, 22086
4.2339, 1.5092, 11.772, 22117
3.849, 0, 10.9872, 22164
1.5396, 1.5092, 9.0252, 22195
-1.5396, 1.8865, 9.4176, 22242
-2.6943, 0.7546, 8.6328, 22289
-4.2339, 2.2638, 7.4556, 22320
-5.7735, -0.3773, 9.0252, 22367
-5.3886, 1.1319, 8.2404, 22398
-4.6188, 1.1319, 9.809999, 22445
-3.849, 1.5092, 10.2024, 22476
-3.0792, 1.8865, 9.4176, 22524
-2.3094, 1.1319, 10.2024, 22573
-2.3094, 0.7546, 9.809999, 22600
-1.5396, 0.3773, 10.2024, 22648
-1.5396, 0.7546, 10.2024, 22678
-1.1547, 0, 9.4176, 22723
-1.1547, 0, 9.809999, 22771
-1.1547, 0, 9.809999, 22802
-1.1547, 0.3773, 9.809999, 22850
-1.1547, 0.3773, 9.809999, 22881
-1.5396, 0.3773, 9.809999, 22928
-1.5396, 0.3773, 10.2024, 22960
-1.5396, 0, 10.2024, 23006
-2.3094, 0.7546, 9.809999, 23055
-3.0792, 1.8865, 9.4176, 23085
-3.0792, 1.1319, 9.0252, 23130
-4.2339, 1.1319, 10.5948, 23161
-6.9282, 1.5092, 10.9872, 23206
-6.1584, 0, 7.848, 23256
-5.7735, 0.7546, 9.809999, 23287
-3.849, -0.3773, 7.4556, 23333
-1.1547, -0.3773, 7.4556, 23363
1.5396, 0, 9.809999, 23410
1.9245, 1.1319, 7.848, 23471
2.6943, 0.7546, 10.2024, 23487
3.849, 0.7546, 8.6328, 23533
4.6188, 0.3773, 9.4176, 23565
4.6188, 1.5092, 9.809999, 23610
4.2339, 3.0184, 9.4176, 23657
4.2339, 1.5092, 9.809999, 23687
4.6188, 1.5092, 8.6328, 23735
3.4641, 2.2638, 9.809999, 23767
3.0792, 2.2638, 9.809999, 23814
2.6943, 3.0184, 10.2024, 23861
1.9245, 3.3957, 10.2024, 23891
