C# time [ms],DC Motor PWM,Encoder Position [counts],Encoder Velocity [Hz]
12557,0,429,0.523122
12573,0,429,0.523122
12589,0,429,0.523122
12604,0,429,0.523122
12625,0,429,0.523122
12635,0,429,0.523122
12650,0,429,0.523122
12666,0,429,0.523122
12680,0,429,0.523122
12697,0,429,0.523122
12712,0,429,0.523122
12734,0,455,0.5440469
12743,0,455,0.5440469
12759,0,455,0.5440469
12775,0,455,0.5440469
12791,0,455,0.5440469
12806,0,455,0.5440469
12822,0,455,0.5440469
12842,0,455,0.5440469
12854,0,455,0.5440469
12869,0,455,0.5440469
12885,0,455,0.5440469
12901,0,455,0.5440469
12917,0,455,0.5440469
12933,0,480,0.523122
12954,0,480,0.523122
12964,0,480,0.523122
12980,0,480,0.523122
12996,0,480,0.523122
13011,0,480,0.523122
13027,0,480,0.523122
13042,0,480,0.523122
13061,0,480,0.523122
13073,0,480,0.523122
13088,0,480,0.523122
13104,0,480,0.523122
13120,0,508,0.5858966
13136,0,508,0.5858966
13151,0,508,0.5858966
13173,0,508,0.5858966
13182,0,508,0.5858966
13198,0,508,0.5858966
13214,0,508,0.5858966
13230,0,508,0.5858966
13245,0,508,0.5858966
13261,0,508,0.5858966
13284,0,508,0.5858966
13291,0,508,0.5858966
13308,0,508,0.5858966
13324,0,508,0.5858966
13338,0,535,0.5649717
13353,0,535,0.5649717
13368,0,535,0.5649717
13389,0,535,0.5649717
13399,0,535,0.5649717
13415,0,535,0.5649717
13431,0,535,0.5649717
13447,0,535,0.5649717
13463,0,535,0.5649717
13478,0,535,0.5649717
13497,0,535,0.5649717
13509,0,535,0.5649717
13525,0,535,0.5649717
13540,0,563,0.5858966
13555,0,563,0.5858966
13571,0,563,0.5858966
13586,0,563,0.5858966
13606,0,563,0.5858966
13633,0,563,0.5858966
13649,0,563,0.5858966
13665,0,563,0.5858966
13681,0,563,0.5858966
13697,0,563,0.5858966
13717,0,563,0.5858966
13729,0,593,0.6277464
13744,0,593,0.6277464
13760,0,593,0.6277464
13775,0,593,0.6277464
13791,0,593,0.6277464
13806,0,593,0.6277464
13828,0,593,0.6277464
13837,0,593,0.6277464
13853,0,593,0.6277464
13868,0,593,0.6277464
13884,0,593,0.6277464
13899,0,593,0.6277464
13914,0,593,0.6277464
13937,0,593,0.6277464
13951,0,622,0.6068215
13962,0,622,0.6068215
13977,0,622,0.6068215
13992,0,622,0.6068215
